	model	acc	acc_original	acc_generated	ppls
35	hidden650_batch64_dropout0.1_lr20.0	81.34048257372655	95.17426273458445	79.80339588918677	42.32
61	hidden650_batch128_dropout0.2_lr20.0	82.33243967828419	94.36997319034852	80.99493595472148	42.39
21	hidden650_batch64_dropout0.2_lr20.0	83.16353887399464	94.90616621983914	81.85880250223414	42.47
34	hidden650_batch64_dropout0.1_lr10.0	82.2520107238606	94.90616621983914	80.84599344652965	42.66
45	hidden650_batch128_dropout0.1_lr20.0	81.68900804289544	94.36997319034852	80.28001191540065	42.71
39	hidden650_batch64_dropout0.1_lr5.0	81.07238605898124	93.2975871313673	79.71403038427167	43.59
43	hidden650_batch128_dropout0.1_lr10.0	80.72386058981233	95.44235924932975	79.08847184986595	43.79
23	hidden650_batch64_dropout0.2_lr5.0	82.49329758713137	95.71045576407506	81.02472445635985	43.95
25	hidden650_batch64_dropout0.2_lr10.0	83.48525469168901	95.71045576407506	82.12689901697945	43.99
63	hidden650_batch128_dropout0.2_lr10.0	82.38605898123325	95.71045576407506	80.90557044980638	44.01
